,precision,recall,f1-score,support
Canon120-1,0.4321608040201005,0.43,0.43107769423558895,200.0
Canon120-2,0.48205128205128206,0.47,0.4759493670886076,200.0
Canon220,0.8674698795180723,0.72,0.7868852459016393,200.0
Canon9000-1,0.449438202247191,0.6,0.5139186295503212,200.0
Canon9000-2,0.4142857142857143,0.435,0.424390243902439,200.0
EpsonV370-1,0.9183673469387755,0.9,0.9090909090909091,200.0
EpsonV370-2,0.9086294416243654,0.895,0.9017632241813602,200.0
EpsonV39-1,0.5405405405405406,0.5,0.5194805194805194,200.0
EpsonV39-2,0.6378378378378379,0.59,0.612987012987013,200.0
EpsonV550,0.9695431472081218,0.955,0.9622166246851386,200.0
HP,0.9852216748768473,1.0,0.9925558312655087,200.0
accuracy,0.6813636363636364,0.6813636363636364,0.6813636363636364,0.6813636363636364
macro avg,0.6914132610135316,0.6813636363636363,0.684574118397186,2200.0
weighted avg,0.6914132610135316,0.6813636363636364,0.6845741183971858,2200.0
